,round,day,date,time,home,xg_home,score,xg_away,away,attendance,venue,referee,home goals,away goals
702,Regular Season,Sat,2019-11-02,15:30,Dortmund,1.8,3 0,1.6,Wolfsburg,80200.0,Signal Iduna Park,Tobias Welz,3,0
703,Regular Season,Sat,2019-11-02,18:30,Union Berlin,1.2,1 0,0.4,Hertha BSC,22012.0,Stadion An der Alten Försterei,Deniz Aytekin,1,0
704,Regular Season,Sun,2019-11-03,15:30,Düsseldorf,1.8,2 0,0.7,Köln,51155.0,Merkur Spielarena,Sven Jablonski,2,0
705,Regular Season,Sun,2019-11-03,18:00,Augsburg,1.8,2 3,0.5,Schalke 04,30361.0,WWK Arena,Patrick Ittrich,2,3
706,Regular Season,Fri,2019-11-08,20:30,Köln,0.7,1 2,1.8,Hoffenheim,49100.0,RheinEnergieSTADION,Robert Kampka,1,2
707,Regular Season,Sat,2019-11-09,15:30,Schalke 04,1.6,3 3,1.7,Düsseldorf,61831.0,Veltins-Arena,Robert Hartmann,3,3
708,Regular Season,Sat,2019-11-09,15:30,Mainz 05,1.8,2 3,1.0,Union Berlin,24349.0,Opel Arena,Harm Osmers,2,3
709,Regular Season,Sat,2019-11-09,15:30,Paderborn 07,1.2,0 1,1.0,Augsburg,13758.0,Benteler-Arena,Marco Fritz,0,1
710,Regular Season,Sat,2019-11-09,15:30,Hertha BSC,0.4,2 4,2.0,RB Leipzig,48532.0,Olympiastadion Berlin,Sören Storks,2,4
711,Regular Season,Sat,2019-11-09,18:30,Bayern Munich,3.1,4 0,0.5,Dortmund,75000.0,Allianz Arena,Felix Zwayer,4,0
712,Regular Season,Sun,2019-11-10,13:30,M'Gladbach,1.4,3 1,1.7,Werder Bremen,54022.0,Stadion im Borussia-Park,Tobias Stieler,3,1
713,Regular Season,Sun,2019-11-10,15:30,Wolfsburg,0.8,0 2,1.6,Leverkusen,24112.0,Volkswagen Arena,Manuel Gräfe,0,2
714,Regular Season,Sun,2019-11-10,18:00,Freiburg,0.9,1 0,1.0,Eint Frankfurt,24000.0,Schwarzwald-Stadion,Felix Brych,1,0
715,Regular Season,Fri,2019-11-22,20:30,Dortmund,2.5,3 3,1.6,Paderborn 07,81365.0,Signal Iduna Park,Christian Dingert,3,3
716,Regular Season,Sat,2019-11-23,15:30,Eint Frankfurt,1.0,0 2,1.1,Wolfsburg,50700.0,Commerzbank-Arena,Daniel Siebert,0,2
717,Regular Season,Sat,2019-11-23,15:30,Düsseldorf,0.7,0 4,3.5,Bayern Munich,53000.0,Merkur Spielarena,Frank Willenborg,0,4
718,Regular Season,Sat,2019-11-23,15:30,Werder Bremen,1.7,1 2,0.5,Schalke 04,42100.0,Weserstadion,Benjamin Cortus,1,2
719,Regular Season,Sat,2019-11-23,15:30,Leverkusen,3.5,1 1,1.2,Freiburg,29032.0,BayArena,Deniz Aytekin,1,1
720,Regular Season,Sat,2019-11-23,15:30,Union Berlin,1.6,2 0,1.0,M'Gladbach,22012.0,Stadion An der Alten Försterei,Felix Brych,2,0
721,Regular Season,Sat,2019-11-23,18:30,RB Leipzig,2.3,4 1,0.4,Köln,42036.0,Red Bull Arena,Robert Schröder,4,1
722,Regular Season,Sun,2019-11-24,15:30,Augsburg,2.3,4 0,0.4,Hertha BSC,29233.0,WWK Arena,Sascha Stegemann,4,0
723,Regular Season,Sun,2019-11-24,18:00,Hoffenheim,2.0,1 5,1.9,Mainz 05,23129.0,PreZero Arena,Bastian Dankert,1,5
724,Regular Season,Fri,2019-11-29,20:30,Schalke 04,1.6,2 1,1.8,Union Berlin,61837.0,Veltins-Arena,Daniel Schlager,2,1
725,Regular Season,Sat,2019-11-30,15:30,Paderborn 07,1.6,2 3,2.4,RB Leipzig,13253.0,Benteler-Arena,Bibiana Steinhaus,2,3
726,Regular Season,Sat,2019-11-30,15:30,Köln,1.4,1 1,1.8,Augsburg,49200.0,RheinEnergieSTADION,Tobias Stieler,1,1
727,Regular Season,Sat,2019-11-30,15:30,Hoffenheim,1.6,1 1,1.0,Düsseldorf,25427.0,PreZero Arena,Martin Petersen,1,1
728,Regular Season,Sat,2019-11-30,15:30,Hertha BSC,1.2,1 2,1.2,Dortmund,74667.0,Olympiastadion Berlin,Sven Jablonski,1,2
729,Regular Season,Sat,2019-11-30,18:30,Bayern Munich,2.6,1 2,1.3,Leverkusen,75000.0,Allianz Arena,Guido Winkmann,1,2
730,Regular Season,Sun,2019-12-01,15:30,M'Gladbach,4.9,4 2,1.3,Freiburg,51080.0,Stadion im Borussia-Park,Felix Zwayer,4,2
731,Regular Season,Sun,2019-12-01,18:00,Wolfsburg,2.2,2 3,1.3,Werder Bremen,26012.0,Volkswagen Arena,Robert Kampka,2,3
732,Regular Season,Mon,2019-12-02,20:30,Mainz 05,2.1,2 1,1.1,Eint Frankfurt,33134.0,Opel Arena,Manuel Gräfe,2,1
733,Regular Season,Fri,2019-12-06,20:30,Eint Frankfurt,2.5,2 2,1.3,Hertha BSC,50000.0,Commerzbank-Arena,Christian Dingert,2,2
734,Regular Season,Sat,2019-12-07,15:30,Augsburg,3.2,2 1,0.4,Mainz 05,26950.0,WWK Arena,Markus Schmidt,2,1
735,Regular Season,Sat,2019-12-07,15:30,M'Gladbach,1.3,2 1,1.7,Bayern Munich,54022.0,Stadion im Borussia-Park,Marco Fritz,2,1
736,Regular Season,Sat,2019-12-07,15:30,Dortmund,3.0,5 0,0.1,Düsseldorf,81365.0,Signal Iduna Park,Daniel Siebert,5,0
737,Regular Season,Sat,2019-12-07,15:30,Freiburg,0.4,1 0,1.2,Wolfsburg,23800.0,Schwarzwald-Stadion,Bastian Dankert,1,0
738,Regular Season,Sat,2019-12-07,15:30,RB Leipzig,3.8,3 1,1.1,Hoffenheim,38407.0,Red Bull Arena,Deniz Aytekin,3,1
739,Regular Season,Sat,2019-12-07,18:30,Leverkusen,2.3,2 1,1.1,Schalke 04,30210.0,BayArena,Harm Osmers,2,1
740,Regular Season,Sun,2019-12-08,15:30,Union Berlin,2.0,2 0,1.1,Köln,22012.0,Stadion An der Alten Försterei,Patrick Ittrich,2,0
741,Regular Season,Sun,2019-12-08,18:00,Werder Bremen,0.9,0 1,1.3,Paderborn 07,39870.0,Weserstadion,Sascha Stegemann,0,1
742,Regular Season,Fri,2019-12-13,20:30,Hoffenheim,2.1,2 4,2.2,Augsburg,23309.0,PreZero Arena,Bibiana Steinhaus,2,4
